"molecule","compound"
"ACT12_M_165","azobenzene"
"ACT12_M_609","benzoximate"
"ACT12_M_659","benzyl benzoate"
"ACT12_M_771","bromopropylate"
"ACT12_M_772","chlorbenside"
"ACT12_M_773","chlorfenethol"
"ACT12_M_1038","chlorfenson"
"ACT12_M_1403","chlorfensulphide"
"ACT12_M_2123","chlorobenzilate"
"ACT12_M_2262","chloropropylate"
"ACT12_M_4301","cyflumetofen"
"ACT12_M_4662","DDT"
"ACT12_M_4682","dicofol"
"ACT12_M_4684","diphenyl sulfone"
"ACT12_M_4685","dofenapyn"
"ACT12_M_5927","fenson"
"ACT12_M_5959","fentrifanil"
"ACT12_M_6333","fluorbenside"
"ACT12_M_6360","genit"
"ACT12_M_6393","hexachlorophene"
"ACT12_M_6418","phenproxide"
"ACT12_M_6431","proclonol"
"ACT12_M_6880","tetradifon"
"ACT12_M_7127","tetrasul"
"ACT12_M_7270","oxime carbamate acaricides"
"ACT12_M_8985","aldicarb"
"ACT12_M_10899","butocarboxim"
"ACT12_M_11009","oxamyl"
"ACT12_M_11219","thiocarboxime"
"ACT12_M_11689","thiofanox"
"ACT12_M_12404","carbazate acaricides"
"ACT12_M_13321","bifenazate"
"ACT12_M_14483","dinitrophenol acaricides"
"ACT12_M_14668","binapacryl"
"ACT12_M_15189","dinex"
"ACT12_M_16122","dinobuton"
"ACT12_M_17310","dinocap"
"ACT12_M_17481","dinocap-4"
"ACT12_M_17516","dinocap-6"
"ACT12_M_17517","dinocton"
"ACT12_M_17521","dinopenton"
"ACT12_M_17545","dinosulfon"
"ACT12_M_17553","dinoterbon"
"ACT12_M_17555","DNOC"
"ACT12_M_17564","formamidine acaricides"
"ACT12_M_18391","amitraz"
"ACT12_M_18392","chlordimeform"
"ACT12_M_19414","chloromebuform"
"ACT12_M_23331","formetanate"
"ACT12_M_23774","formparanate"
"ACT12_M_24001","medimeform"
"ACT12_M_24570","semiamitraz"
"ACT12_M_24762","isoxazoline acaricides"
"ACT12_M_25193","afoxolaner"
"ACT12_M_25337","esafoxolaner"
"ACT12_M_25546","fluralaner"
"ACT12_M_26250","lotilaner"
"ACT12_M_26255","sarolaner"
"ACT12_M_26256","tigolaner"
"ACT12_M_26257","macrocyclic lactone acaricides"
"ACT12_M_26261","tetranactin"
"ACT12_M_26265","avermectin acaricides"
"ACT12_M_26410","abamectin"
"ACT12_M_26423","doramectin"
"ACT12_M_26424","eprinomectin"
"ACT12_M_26425","ivermectin"
"ACT12_M_26426","selamectin"
"ACT12_M_26427","milbemycin acaricides"
"ACT12_M_26436","milbemectin"
"ACT12_M_26452","milbemycin oxime"
"ACT12_M_26453","moxidectin"
"ACT12_M_27682","mite growth regulators"
"ACT12_M_28757","clofentezine"
"ACT12_M_28895","cyromazine"
"ACT12_M_29164","diflovidazin"
"ACT12_M_29349","dofenapyn"
"ACT12_M_29585","fluazuron"
"ACT12_M_29679","flubenzimine"
"ACT12_M_30349","flucycloxuron"
"ACT12_M_30370","flufenoxuron"
"ACT12_M_30372","hexythiazox"
"ACT12_M_30374","organochlorine acaricides"
"ACT12_M_30382","bromocyclen"
"ACT12_M_30389","camphechlor"
"ACT12_M_30391","DDT"
"ACT12_M_30392","dienochlor"
"ACT12_M_30395","endosulfan"
"ACT12_M_30397","lindane"
"ACT12_M_30398","organophosphorus acaricides"
"ACT12_M_30490","organophosphate acaricides"
"ACT12_M_30493","chlorfenvinphos"
"ACT12_M_30599","crotoxyphos"
"ACT12_M_30601","dichlorvos"
"ACT12_M_30608","heptenophos"
"ACT12_M_30615","mevinphos"
"ACT12_M_30617","monocrotophos"
"ACT12_M_30618","naled"
"ACT12_M_30620","TEPP"
"ACT12_M_30642","tetrachlorvinphos"
"ACT12_M_30646","organothiophosphate acaricides"
"ACT12_M_30647","amidithion"
"ACT12_M_31221","amiton"
"ACT12_M_31322","azinphos-ethyl"
"ACT12_M_31326","azinphos-methyl"
"ACT12_M_31393","azothoate"
"ACT12_M_31565","benoxafos"
"ACT12_M_31690","bromophos"
"ACT12_M_32388","bromophos-ethyl"
"ACT12_M_32402","carbophenothion"
"ACT12_M_32811","chlorpyrifos"
"ACT12_M_32816","chlorthiophos"
"ACT12_M_33033","coumaphos"
"ACT12_M_34446","cyanthoate"
"ACT12_M_34497","demeton"
"ACT12_M_34514","demeton-O"
"ACT12_M_35186","demeton-S"
"ACT12_M_35697","demeton-methyl"
"ACT12_M_36205","demeton-O-methyl"
