"transactionId","sku","name","units","value","subcategory","category"
"ACT12_M_165","azobenzene","azobenzene",9.64,2088.31,"CalciumCarbonate","calcium"
"ACT12_M_609","benzoximate","benzoximate",3.53,1632.6,"SodiumChloride","calcium"
"ACT12_M_659","benzyl benzoate","benzyl benzoate",6.99,1806.17,"Methane","carbon"
"ACT12_M_771","bromopropylate","bromopropylate",3.03,239.3,"Aspirin","carbon"
"ACT12_M_772","chlorbenside","chlorbenside",1.07,1680.72,"PotassiumTartrate","carbon"
"ACT12_M_773","chlorfenethol","chlorfenethol",9.43,1316.04,"Bakingsoda","soda"
"ACT12_M_1038","chlorfenson","chlorfenson",7.04,1232.56,"Acetaminophen","soda"
"ACT12_M_1403","chlorfensulphide","chlorfensulphide",6.55,486.1,"AceticAcid","acid"
"ACT12_M_2123","chlorobenzilate","chlorobenzilate",6.41,1844.18,"Ehtanol","H2"
"ACT12_M_2262","chloropropylate","chloropropylate",4.5,1191.67,"CarbonDioxide","carbon"
"ACT12_M_4301","cyflumetofen","cyflumetofen",7.28,790.07,"CalciumCarbonate","calcium"
"ACT12_M_4662","DDT","DDT",1.55,1725.35,"SodiumChloride","calcium"
"ACT12_M_4682","dicofol","dicofol",1.84,1611.32,"Methane","carbon"
"ACT12_M_4684","diphenyl sulfone","diphenyl sulfone",4.64,1289.21,"Aspirin","carbon"
"ACT12_M_4685","dofenapyn","dofenapyn",6.62,949.28,"PotassiumTartrate","carbon"
"ACT12_M_5927","fenson","fenson",2.15,667.28,"Bakingsoda","soda"
"ACT12_M_5959","fentrifanil","fentrifanil",4.7,35.08,"Acetaminophen","soda"
"ACT12_M_6333","fluorbenside","fluorbenside",1.7,787.29,"AceticAcid","acid"
"ACT12_M_6360","genit","genit",2.14,675.36,"Ehtanol","H2"
"ACT12_M_6393","hexachlorophene","hexachlorophene",6.96,65.82,"CarbonDioxide","carbon"
"ACT12_M_6418","phenproxide","phenproxide",6.11,362.46,"CalciumCarbonate","calcium"
"ACT12_M_6431","proclonol","proclonol",2.31,405.24,"SodiumChloride","calcium"
"ACT12_M_6880","tetradifon","tetradifon",2.16,1139.73,"Methane","carbon"
"ACT12_M_7127","tetrasul","tetrasul",6.08,549.42,"Aspirin","carbon"
"ACT12_M_7270","oxime carbamate acaricides","oxime carbamate acaricides",5.39,1857.01,"PotassiumTartrate","carbon"
"ACT12_M_8985","aldicarb","aldicarb",3.93,1460.76,"Bakingsoda","soda"
"ACT12_M_10899","butocarboxim","butocarboxim",8.2,1364.46,"Acetaminophen","soda"
"ACT12_M_11009","oxamyl","oxamyl",9.81,1087.08,"AceticAcid","acid"
"ACT12_M_11219","thiocarboxime","thiocarboxime",5.47,138.9,"Ehtanol","H2"
"ACT12_M_11689","thiofanox","thiofanox",9.44,730.36,"CarbonDioxide","carbon"
"ACT12_M_12404","carbazate acaricides","carbazate acaricides",6.74,132.54,"CalciumCarbonate","calcium"
"ACT12_M_13321","bifenazate","bifenazate",2.83,402.15,"SodiumChloride","calcium"
"ACT12_M_14483","dinitrophenol acaricides","dinitrophenol acaricides",4.56,1022.52,"Methane","carbon"
"ACT12_M_14668","binapacryl","binapacryl",2.56,1951.54,"Aspirin","carbon"
"ACT12_M_15189","dinex","dinex",9.97,651.78,"PotassiumTartrate","carbon"
"ACT12_M_16122","dinobuton","dinobuton",1.81,1509.03,"Bakingsoda","soda"
"ACT12_M_17310","dinocap","dinocap",1.36,1240.64,"Acetaminophen","soda"
"ACT12_M_17481","dinocap-4","dinocap-4",1.09,1976.38,"AceticAcid","acid"
"ACT12_M_17516","dinocap-6","dinocap-6",9.18,785.24,"Ehtanol","H2"
"ACT12_M_17517","dinocton","dinocton",3.99,256.16,"CarbonDioxide","carbon"
"ACT12_M_17521","dinopenton","dinopenton",3.78,823.43,"CalciumCarbonate","calcium"
"ACT12_M_17545","dinosulfon","dinosulfon",6.03,238.35,"SodiumChloride","calcium"
"ACT12_M_17553","dinoterbon","dinoterbon",9.35,1927.88,"Methane","carbon"
"ACT12_M_17555","DNOC","DNOC",6.43,316.54,"Aspirin","carbon"
"ACT12_M_17564","formamidine acaricides","formamidine acaricides",7.01,1540.3,"PotassiumTartrate","carbon"
"ACT12_M_18391","amitraz","amitraz",9.9,240,"Bakingsoda","soda"
"ACT12_M_18392","chlordimeform","chlordimeform",8.45,1573.31,"Acetaminophen","soda"
"ACT12_M_19414","chloromebuform","chloromebuform",6.46,545.87,"AceticAcid","acid"
"ACT12_M_23331","formetanate","formetanate",9.14,1577.63,"Ehtanol","H2"
"ACT12_M_23774","formparanate","formparanate",6.75,2119.83,"CarbonDioxide","carbon"
"ACT12_M_24001","medimeform","medimeform",8.52,911.41,"CalciumCarbonate","calcium"
"ACT12_M_24570","semiamitraz","semiamitraz",7.8,1744.06,"SodiumChloride","calcium"
"ACT12_M_24762","isoxazoline acaricides","isoxazoline acaricides",5.02,1150.1,"Methane","carbon"
"ACT12_M_25193","afoxolaner","afoxolaner",6.56,746.49,"Aspirin","carbon"
"ACT12_M_25337","esafoxolaner","esafoxolaner",7.56,422,"PotassiumTartrate","carbon"
"ACT12_M_25546","fluralaner","fluralaner",7.87,1435.78,"Bakingsoda","soda"
"ACT12_M_26250","lotilaner","lotilaner",6.39,35.05,"Acetaminophen","soda"
"ACT12_M_26255","sarolaner","sarolaner",8.37,1054.7,"AceticAcid","acid"
"ACT12_M_26256","tigolaner","tigolaner",4.33,1257.94,"Ehtanol","H2"
"ACT12_M_26257","macrocyclic lactone acaricides","macrocyclic lactone acaricides",4.3,253.59,"CarbonDioxide","carbon"
"ACT12_M_26261","tetranactin","tetranactin",9.46,859.61,"CalciumCarbonate","calcium"
"ACT12_M_26265","avermectin acaricides","avermectin acaricides",1.62,1926.11,"SodiumChloride","calcium"
"ACT12_M_26410","abamectin","abamectin",7.83,1804.92,"Methane","carbon"
"ACT12_M_26423","doramectin","doramectin",5.59,1717.1,"Aspirin","carbon"
"ACT12_M_26424","eprinomectin","eprinomectin",5.2,937.87,"PotassiumTartrate","carbon"
"ACT12_M_26425","ivermectin","ivermectin",2.41,2046.85,"Bakingsoda","soda"
"ACT12_M_26426","selamectin","selamectin",8.05,1891.62,"Acetaminophen","soda"
"ACT12_M_26427","milbemycin acaricides","milbemycin acaricides",9.63,1306.36,"AceticAcid","acid"
"ACT12_M_26436","milbemectin","milbemectin",8.41,378.72,"Ehtanol","H2"
"ACT12_M_26452","milbemycin oxime","milbemycin oxime",6.96,931.67,"CarbonDioxide","carbon"
"ACT12_M_26453","moxidectin","moxidectin",2.62,1396.04,"CalciumCarbonate","calcium"
"ACT12_M_27682","mite growth regulators","mite growth regulators",6.34,1968.31,"SodiumChloride","calcium"
"ACT12_M_28757","clofentezine","clofentezine",9.45,734.66,"Methane","carbon"
"ACT12_M_28895","cyromazine","cyromazine",1.23,979.2,"Aspirin","carbon"
"ACT12_M_29164","diflovidazin","diflovidazin",6.79,1933.81,"PotassiumTartrate","carbon"
"ACT12_M_29349","dofenapyn","dofenapyn",6.03,459.02,"Bakingsoda","soda"
