"clientId","transactionId","sku","name","units","value","subcategory","category"
"xeta","ACT1_M_80","CHEMBL596271","CHEMBL596271",3.44,129.15,"CalciumCarbonate","calcium"
"xeta","ACT1_M_189","CHEMBL1951080","CHEMBL1951080",5.08,1229.03,"SodiumChloride","calcium"
"xeta","ACT1_M_190","CHEMBL1771","CHEMBL1771",2.06,1692.41,"Methane","carbon"
"xeta","ACT1_M_402","CHEMBL234951","CHEMBL234951",3.99,653.29,"Aspirin","carbon"
"xeta","ACT1_M_659","CHEMBL565079","CHEMBL565079",6.04,228.46,"PotassiumTartrate","carbon"
"xeta","ACT1_M_773","CHEMBL317462","CHEMBL317462",3.41,304.35,"Bakingsoda","soda"
"xeta","ACT1_M_785","CHEMBL1951182","CHEMBL1951182",9.28,1769.51,"Acetaminophen","soda"
"xeta","ACT1_M_962","CHEMBL2030960","CHEMBL2030960",2.57,1601.35,"AceticAcid","acid"
"xeta","ACT1_M_1176","CHEMBL13097","CHEMBL13097",6.29,1850.8,"Ehtanol","H2"
"xeta","ACT1_M_1655","CHEMBL1527751","CHEMBL1527751",6.34,527.32,"CarbonDioxide","carbon"
"xeta","ACT1_M_2000","CHEMBL1940306","CHEMBL1940306",9.74,1053.49,"CalciumCarbonate","calcium"
"xeta","ACT1_M_2087","CHEMBL578201","CHEMBL578201",7.1,1123.62,"SodiumChloride","calcium"
"xeta","ACT1_M_2124","CHEMBL276218","CHEMBL276218",8.07,2008.02,"Methane","carbon"
"xeta","ACT1_M_2131","CHEMBL2153181","CHEMBL2153181",8.13,1209.19,"Aspirin","carbon"
"xeta","ACT1_M_2257","CHEMBL1916276","CHEMBL1916276",9.5,507.31,"PotassiumTartrate","carbon"
"xeta","ACT1_M_2262","CHEMBL93884","CHEMBL93884",9.38,155.53,"Bakingsoda","soda"
"xeta","ACT1_M_2693","CHEMBL2171986","CHEMBL2171986",8,878.27,"Acetaminophen","soda"
"xeta","ACT1_M_3048","CHEMBL190044","CHEMBL190044",3.43,2033.8,"AceticAcid","acid"
